Date,Open*,High,Low,Close,Volume,Market Cap
"Jan 21, 2022",$3.35,$3.43,$2.86,$2.91,"$61,352,501","$1,035,570,809"
"Jan 20, 2022",$3.39,$3.64,$3.34,$3.35,"$22,258,687","$1,187,409,085"
"Jan 19, 2022",$3.46,$3.68,$3.39,$3.39,"$46,992,347","$1,201,068,048"
"Jan 18, 2022",$3.41,$3.63,$3.38,$3.46,"$68,021,289","$1,222,658,829"
"Jan 17, 2022",$3.50,$3.50,$3.32,$3.41,"$35,541,078","$1,200,591,755"
"Jan 16, 2022",$3.50,$3.57,$3.46,$3.50,"$27,083,260","$1,228,537,582"
"Jan 15, 2022",$3.46,$3.62,$3.43,$3.50,"$31,913,816","$1,224,958,727"
"Jan 14, 2022",$3.28,$3.56,$3.25,$3.46,"$38,649,920","$1,209,607,683"
"Jan 13, 2022",$3.59,$3.65,$3.28,$3.28,"$46,530,896","$1,141,047,854"
"Jan 12, 2022",$3.45,$3.68,$3.45,$3.59,"$46,715,052","$1,249,697,435"
"Jan 11, 2022",$3.20,$3.54,$3.14,$3.45,"$45,896,976","$1,196,263,741"
"Jan 10, 2022",$3.34,$3.40,$3.00,$3.20,"$46,887,896","$1,105,862,053"
"Jan 09, 2022",$3.25,$3.48,$3.18,$3.34,"$36,149,392","$1,153,959,656"
"Jan 08, 2022",$3.36,$3.51,$3.19,$3.25,"$40,885,540","$1,117,744,126"
"Jan 07, 2022",$3.68,$3.69,$3.32,$3.36,"$66,277,295","$1,153,530,634"
"Jan 06, 2022",$3.91,$4.05,$3.53,$3.69,"$81,127,474","$1,260,853,156"
"Jan 05, 2022",$3.70,$4.24,$3.44,$3.91,"$151,455,502","$1,335,435,994"
"Jan 04, 2022",$3.56,$3.88,$3.49,$3.70,"$70,958,879","$1,260,267,942"
"Jan 03, 2022",$3.77,$3.77,$3.51,$3.56,"$44,860,116","$1,208,615,701"
"Jan 02, 2022",$3.73,$3.84,$3.61,$3.77,"$31,932,679","$1,276,520,621"
"Jan 01, 2022",$3.55,$3.73,$3.55,$3.73,"$28,820,925","$1,257,502,775"
"Dec 31, 2021",$3.58,$3.69,$3.48,$3.55,"$38,176,622","$1,195,274,895"
"Dec 30, 2021",$3.35,$3.86,$3.30,$3.58,"$64,414,844","$1,202,367,122"
"Dec 29, 2021",$3.51,$3.71,$3.32,$3.35,"$37,874,806","$1,122,229,179"
"Dec 28, 2021",$3.86,$3.86,$3.39,$3.51,"$53,398,491","$1,171,272,386"
"Dec 27, 2021",$3.81,$4.21,$3.80,$3.85,"$74,513,610","$1,282,438,001"
"Dec 26, 2021",$3.59,$3.86,$3.47,$3.81,"$46,279,064","$1,266,114,895"
"Dec 25, 2021",$3.56,$3.69,$3.53,$3.58,"$29,387,254","$1,186,042,711"
"Dec 24, 2021",$3.71,$3.73,$3.54,$3.56,"$39,583,585","$1,175,358,784"
"Dec 23, 2021",$3.31,$3.77,$3.26,$3.70,"$55,729,739","$1,218,338,213"
"Dec 22, 2021",$3.23,$3.49,$3.22,$3.32,"$46,760,661","$1,089,092,672"
